Phase,Epic,Milestone,"Task Title","Task Description",Priority,Status,Impact,Effort,"GitHub Labels (Suggested)","GitHub Issue URL","Notes / Suggested Grouping"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Initialize Git Repo","Initialize Git repo with clear branch strategy",Critical,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Area: Git, Priority: Critical, Epic: Foundations","[Link Placeholder]","Setup, Git"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Set Up Local Dev Environment","Set up local dev environment and .env.local",Critical,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Area: DX, Priority: Critical, Epic: Foundations","[Link Placeholder]","Setup, Environment"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Configure Supabase Project","Configure Supabase project (Auth, DB, storage, RLS basics)",Critical,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Area: Backend, Area: Supabase, Priority: Critical, Epic: Foundations","[Link Placeholder]","Setup, Backend, Supabase"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Scaffold Next.js Project","Scaffold Next.js 14 + Tailwind CSS with design tokens",Critical,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Area: Frontend, Area: Next.js, Priority: Critical, Epic: Foundations","[Link Placeholder]","Setup, Frontend, Next.js"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Create Basic Directory Structure","Create basic directory structure",Critical,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Priority: Critical, Epic: Foundations","[Link Placeholder]","Setup, Project Structure"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Set Up Linting/Formatting","Set up ESLint & Prettier with Husky",Recommended,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Area: Tooling, Area: DX, Epic: Foundations","[Link Placeholder]","Setup, Tooling, DX"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Add VS Code Settings","Add VS Code settings for TypeScript and formatting",Recommended,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Area: Tooling, Area: DX, Epic: Foundations","[Link Placeholder]","Setup, Tooling, DX"
0,"EPIC: Foundational Setup (Phase 0)","Sprint 1 (Apr 28 - May 9)","Configure Basic CI","Configure GitHub Actions for lint and tests",Recommended,Pending,Medium,Medium,"Phase: 0, Type: Chore, Area: Setup, Area: CI/CD, Area: GitHub Actions, Epic: Foundations","[Link Placeholder]","Setup, CI/CD, GitHub Actions"
0,"EPIC: Foundational Setup (Phase 0)","Sprint 1 (Apr 28 - May 9)","Link Vercel Project","Link Vercel project and set production ENV variables",Recommended,Pending,Medium,Low,"Phase: 0, Type: Chore, Area: Setup, Area: Deployment, Area: Vercel, Epic: Foundations","[Link Placeholder]","Setup, Deployment, Vercel"
0,"EPIC: Foundational Setup (Phase 0)","Backlog","Document Conventions","Document commit and branch conventions",Optional,Pending,Low,Low,"Phase: 0, Type: Docs, Area: DX, Epic: Foundations","[Link Placeholder]","Documentation, DX"
0,"EPIC: Foundational Setup (Phase 0)","N/A","Add Package Scripts","Share ESLint/Prettier scripts in package.json",Optional,Completed,N/A,N/A,"Phase: 0, Type: Chore, Area: Setup, Area: Tooling, Area: DX, Epic: Foundations","[Link Placeholder]","Setup, Tooling, DX"
